BfArM: AMIce-ÖFF/ Arzneimittel © BfArM
 ;Nr.;Eingangsnummer;Arzneimittelbezeichnung;Darreichungsform;Zielgruppe;Anwendungsart;Anwendungsgebiete;Indikation/ATC;Bescheiddatum der Zulassung;Zulassungsstatus;Zulassungs-/Reg.-Nr. (AMG 1976), Register-Nr. (AMG 1961) oder Kennziffer;Verkehrsfähigkeit;Parallelimportinformationen;EU-Verfahrensnummer;Zulassungsinhaber;Hersteller/Endfreigabe;Vertreiber;Örtlicher Vertreter;Wirkstoffe;Packungsgrößen-Gruppe/Verkaufsabgrenzung;AM-Klassifikationen
;92;"'7018405";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;11.06.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8140835 axicorp Pharma B.V.;1010486 AxiCorp Pharma GmbH (BS 2) ~ 1009232 axicorp Pharma B.V. (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7018405_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;93;"'7020267";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;23.10.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8144626 hvd medical GmbH;8144626 hvd medical GmbH;-;-;Faricimab (45234) ist gleich 120 Milligramm;7020267_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;94;"'7015173";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;12.09.2023;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8090132 HAEMATO PHARM GmbH;1006372 HAEMATO PHARM GmbH (BS 1) ~ 1012005 Dr. Holz Pharmaservice GmbH (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7015173_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;95;"'7015121";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;18.08.2023;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8062667 Paranova Pack A/S;8100089 MPA Pharma GmbH  (BS 1) ~ 1009237 Paranova Pack B.V. (BS 1) ~ 1011806 Paranova Pack A/S (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7015121_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;96;"'7020344";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;28.10.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8015343 1 0 1 Carefarm GmbH;8196161 Orifarm GmbH  (BS 1) ~ 8144508 Orifarm Supply s.r.o.  (BS 1) ~ 8086484 Orifarm Supply A/S (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7020344_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;97;"'7016690";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;24.01.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;3216120 kohlpharma GmbH;1006554 kohlpharma GmbH (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7016690_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;98;"'7019223";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;06.08.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;4612266 SynCo Pharma B.V.;1009280 Bmodesto B.V. (BS 1) ~ 1007347 SynCo pharma B.V. (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7019223_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;99;"'7016237";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;06.12.2023;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8124859 Abacus Medicine A/S;1009204 Abacus Medicine B.V. (BS 1) ~ 1006373 Abacus Medicine Hungary Kft. (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7016237_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;100;"'7020593";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;11.11.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8167521 NMG Pharma GmbH;8168928 GMP service s.r.o.  (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7020593_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;101;"'7024031";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;18.07.2025;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/005642;8126628 BB Farma s.r.l.;8126628 BB Farma s.r.l.;-;-;Faricimab (45234) ist gleich 120 Milligramm;7024031_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;102;"'7019885";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;24.09.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8142751 2CARE4 ApS HR-Beiname: Aurora Medical ApS;8142751 2CARE4 ApS HR-Beiname: Aurora Medical ApS ~ 8174389 2care4 Poland z.o.o. (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7019885_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;103;"'7019853";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;20.09.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8049833 ACA Müller ADAG Pharma AG;1007716 ACA Müller ADAG Pharma AG (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7019853_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;104;"'7005820";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Dieses Arzneimittel wird angewendet zur Behandlung von erwachsenen Patienten mit:? neovaskulärer (feuchter) altersabhängiger Makuladegeneration (nAMD),? einer Visusbeeinträchtigung infolge eines diabetischen Makulaödems (DMÖ).(Stand der Information: 09/2022);S01LA09 Faricimab;16.09.2022;zugelassen;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;4611002 Roche Registration GmbH;1009388 Roche Pharma AG (BS 1);-;3001678 Roche Pharma AG;Faricimab (45234) ist gleich 120 Milligramm;7005820_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;105;"'7016715";Vabysmo 120 mg/ml Injektionslösung;Injektionslösung;Mensch;Intravitreal;Bei diesem Arzneimittel handelt es sich um einen Parallelvertrieb. Den neuesten Stand des Arzneimittels können Sie den Internetseiten der EMA entnehmen.;S01LA09 Faricimab;25.01.2024;EMA-notifiziert;EU/1/22/1683/001;Ja;;EMEA/H/C/5642;8029457 CC-Pharma GmbH;1006773 CC-Pharma GmbH (BS 1);-;-;Faricimab (45234) ist gleich 120 Milligramm;7016715_1, Originalpackung, 0,24 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
